Time engk1       engi1       pres500     pres1600    pres2800    pres3900    
  0.7215E-06  0.0000E+00  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1443E-05  0.0000E+00  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2165E-05  0.0000E+00  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.2886E-05  0.0000E+00  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.3608E-05  0.0000E+00  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.4329E-05  0.2188E-04  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5051E-05  0.8746E-04  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.5772E-05  0.1965E-03  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.6494E-05  0.3488E-03  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7215E-05  0.7821E-03  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.7937E-05  0.1385E-02  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.8658E-05  0.2154E-02  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.9380E-05  0.3085E-02  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1010E-04  0.3774E-02  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1082E-04  0.4557E-02  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1154E-04  0.5429E-02  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1227E-04  0.6387E-02  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1299E-04  0.7426E-02  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1371E-04  0.8238E-02  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1443E-04  0.9210E-02  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1515E-04  0.1034E-01  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1587E-04  0.1164E-01  0.4371E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.1659E-04  0.1310E-01  0.4370E+03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
